shop_category;product_category;name;short_description;price
Boucherie;veau;Pot au feu de veau individuel;pour 260/280g 13.49 €/Kg;375
Boucherie;Agneau;3 achetées = 3 offertes ! Côte d'agneau filet double;pour 1140/1200g 11.855 €/Kg;1429
Boucherie;Agneau;Côtes découvertes d'agneau Français;pour 440/480g 30.1 €/Kg;1427
Boucherie;Agneau;Côte d'agneau découverte;pour 440/480g 23.7 €/Kg;1123
Boucherie;Agneau;(10 à 12 portions)Gigot roulé;pour 1900/2100g 16.03 €/Kg;3302
Boucherie;Agneau;Côte d'agneau première;pour 420/450g 27.9 €/Kg;1250
Boucherie;Agneau;Côte d'agneau filet double;pour 380/400g 23.71 €/Kg;953
Boucherie;Agneau;Merguez;pour 480/500g 16.51 €/Kg;833
Boucherie;Agneau;Souris d'agneau (gigot);pour 460/540g 22.4 €/Kg;1154
Boucherie;Agneau;Collier coupé;pour 480/500g 13.21 €/Kg;666
Boucherie;Agneau;Epaule préparée;pour 1500/1700g 14.82 €/Kg;2442
Boucherie;Agneau;Côte d'agneau filet;pour 280/320g 23.7 €/Kg;732
Boucherie;Agneau;Gigot d'agneau Français;pour 2000/2200g 26.67 €/Kg;5769
Boucherie;Agneau;Sauté d'agneau sans os (épaule ou gigot);pour 480/500g 23.71 €/Kg;1197
Boucherie;Agneau;Noisettine d'agneau;pour 320/360g 18.2 €/Kg;638
Boucherie;Agneau;Sauté d'agneau Français;pour 480/500g 21.99 €/Kg;1110
Boucherie;Agneau;Rouelle de gigot d'agneau;pour 360/400g 19.9 €/Kg;779
Boucherie;Agneau;Epaule d'agneau Français préparée;pour 1500/1700g 20.42 €/Kg;3365
Boucherie;Agneau;Gigot préparé;pour 1900/2100g 20.75 €/Kg;4275
Boucherie;Agneau;Rôti de selle d'agneau au beurre maître d'hôtel;pour 1000/1200g 24.9 €/Kg;2821
Boucherie;Agneau;Epaule roulée;pour 1100/1300g 23.71 €/Kg;2930
Boucherie;Agneau;Carré d'agneau 13 côtes;pour 900/1000g 34.08 €/Kg;3335
Boucherie;Agneau;Côte gigot sans os (steak de gigot);pour 300/320g 23.72 €/Kg;757
Boucherie;Agneau;Epaule d'agneau Français roulée;pour 1100/1300g 21.9 €/Kg;2707
Boucherie;Agneau;Carré d'agneau 6 côtes étalonné;pour 480/500g 40 €/Kg;2019
Boucherie;Agneau;Steak de gigot (Origine France);pour 300/320g 24.9 €/Kg;795
Boucherie;Agneau;Noisettine d'agneau Français;pour 320/360g 32.2 €/Kg;1128
Boucherie;Agneau;Poitrine d'agneau - épigramme;pour 900/1000g 7.9 €/Kg;774
Boucherie;Agneau;Côtes filet d'agneau Français;pour 280/320g 27.75 €/Kg;858
Boucherie;Agneau;Côtes filet doubles d'agneau Français;pour 380/400g 30.38 €/Kg;1221
Boucherie;Agneau;Carré d'agneau Français 6 côtes étalonné;pour 480/500g 51.37 €/Kg;2593
Boucherie;Agneau;Carré d'agneau Français 13 côtes étalonné;pour 900/1000g 49.99 €/Kg;4891
Boucherie;Agneau;Collier d'agneau Français coupé;pour 480/500g 16.93 €/Kg;855
Boucherie;Porc;Durée limitée ! Pluma de porc ibérique;pour 460/520g 37.8 €/Kg;1907
Boucherie;Porc;Rôti de porc aux pruneaux;pour 700/800g 16.79 €/Kg;1297
Boucherie;Porc;Carré de porc étalonné;pour 900/1000g 11.8 €/Kg;1155
Boucherie;Porc;Côte de porc première et filet;pour 380/400g 11.9 €/Kg;478
Boucherie;Porc;Travers frais à griller;pour 900/1000g 15.55 €/Kg;1521
Boucherie;Porc;Côte de porc échine;pour 380/400g 11.65 €/Kg;468
Boucherie;Porc;Poitrine fraîche morceaux;pour 480/500g 9.49 €/Kg;479
Boucherie;Porc;Filet mignon;pour 500/600g 12.334 €/Kg;699
Boucherie;Porc;Sauté de porc (palette sans os);pour 480/500g 9.99 €/Kg;505
Boucherie;Porc;Chipolatas supérieure;pour 480/540g 15.95 €/Kg;837
Boucherie;Porc;Jarret avant demi-sel (kako);pour 480/500g 9.57 €/Kg;483
Boucherie;Porc;Saucisse fraiche;pour 480/500g 15.49 €/Kg;782
Boucherie;Porc;Rôti de porc filet;pour 900/1000g 11.65 €/Kg;1140
Boucherie;Porc;Véritable grillade;pour 280/300g 16.19 €/Kg;484
Boucherie;Porc;Rôti de porc Andalou (farci au chorizo);pour 1300/1400g 16.79 €/Kg;2335
Boucherie;Porc;Palette demi-sel;pour 900/1000g 11.09 €/Kg;1086
Boucherie;Porc;Rôti de porc échine;pour 900/1000g 7.7925 €/Kg;763
Boucherie;Porc;Travers demi-sel;pour 1300/1500g 15.55 €/Kg;2242
Boucherie;Porc;Farce forestière à l'Armagnac;pour 480/500g 14.84 €/Kg;749
Boucherie;Porc;Poitrine fraîche tranchée;pour 480/500g 12.69 €/Kg;641
Boucherie;Porc;Filet mignon origine France;pour 380/400g 23.35 €/Kg;938
Boucherie;Porc;Rôti de porc palette;pour 900/1000g 9.99 €/Kg;977
Boucherie;Porc;Côte échine (Label rouge);pour 460/500g 10.3675 €/Kg;513
Boucherie;Porc;Côte première et filet (Label rouge);pour 460/500g 10.3675 €/Kg;513
Boucherie;Porc;Carré étalonné (Label rouge);pour 900/1000g 15.95 €/Kg;1560
Boucherie;Porc;Rôti échine (Label rouge);pour 900/1000g 19.99 €/Kg;1956
Boucherie;Porc;Rôti filet (Label rouge);pour 900/1000g 19.99 €/Kg;1956
Boucherie;Porc;Sauté de porc (Label rouge);pour 480/500g 12.9 €/Kg;651
Boucherie;Volaille;Filet de poulet origine France;pour 340/360g 11.04 €/Kg;398
Boucherie;Volaille;Poulet fermier Label Rouge;pour 1600/1800g 8.75 €/Kg;1533
Boucherie;Volaille;Magret de canard origine France;pour 380/400g 23.715 €/Kg;953
Boucherie;Volaille;Filet de canette;pour 360/400g 24.9 €/Kg;974
Boucherie;Volaille;Cuisses de poulet Fermier;pour 600/640g 13.49 €/Kg;861
Boucherie;Volaille;Suprême de poulet Classe A;pour 420/440g 14.3 €/Kg;633
Boucherie;Volaille;Escalope de dinde;pour 300/320g 15.1 €/Kg;482
Boucherie;Volaille;Véritable poulet de ferme du Luteau (du jeudi au samedi);pour 1800/2000g 9.99 €/Kg;1955
Boucherie;Volaille;Cuisse de lapin;pour 440/500g 17.29 €/Kg;837
Boucherie;Volaille;Rable de Lapin;pour 700/800g 13.79 €/Kg;1065
Boucherie;Volaille;Suprêmes de pintade;pour 720/800g 22 €/Kg;1722
Boucherie;Volaille;Pintade fermière;pour 1300/1500g 12.99 €/Kg;1874
Boucherie;Volaille;Cuisse de canard;pour 700/800g 7.889 €/Kg;609
Boucherie;Volaille;Foie gras de canard déveiné;pour 500/550g 58.99 €/Kg;3190
Boucherie;Volaille;Cuisse de canard gras à confire;pour 350/400g 9.29 €/Kg;358
Boucherie;Volaille;Canette;pour 1600/1800g 12.99 €/Kg;2274
Boucherie;Volaille;Suprême de poulet fermier;pour 500/550g 20.99 €/Kg;1135
Boucherie;Volaille;Coquelet;pour 480/520g 10.69 €/Kg;551
Boucherie;Volaille;Filet de poulet fermier;pour 320/360g 19.15 €/Kg;671
Boucherie;Volaille;Cuisse de canard confite (cuite);la pièce;525
Boucherie;Volaille;Gésiers de canard confits;la pièce;690
Boucherie;Volaille;Cuisses de poulet déjointées classe A;pour 500/520g 6.55 €/Kg;344
Boucherie;Volaille;Lapin entier coupé;pour 1400/1600g 10.69 €/Kg;1652
Boucherie;Volaille;Morceaux de coq pour coq au vin;pour 1000/1200g 8.8 €/Kg;997
Boucherie;Volaille;Foie de volaille;pour 900/1000g 4.8 €/Kg;470
Boucherie;Volaille;Poulet blanc classe A;pour 1300/1500g 5.99 €/Kg;864
Boucherie;Volaille;Filet de dinde;pour 1000/1200g 11.99 €/Kg;1359
Boucherie;Volaille;Paupiette de dinde;pour 380/400g 15.95 €/Kg;641
Boucherie;Volaille;Sauté de Dinde (blanquette);pour 900/1000g 12.26 €/Kg;1200
Boucherie;Volaille;Rôti de dinde filet;pour 1200/1400g 16.86 €/Kg;2258
Boucherie;Volaille;Gésier de volaille;pour 900/1000g 13.8 €/Kg;1350
Boucherie;Volaille;Poule;pour 1800/2000g 7.75 €/Kg;1517
Boucherie;Volaille;Magret de Canard Fumé;la pièce;565
Boucherie;Volaille;Andouillette au canard;pour 390/420g 17.79 €/Kg;742
Boucherie;Volaille;Caille;la pièce;610
Boucherie;Volaille;Cuisse de pintade;pour 380/400g 12.835 €/Kg;516
Boucherie;Charcuterie - traiteur;Chorizo fer à cheval;pour 240/260g 13.38 €/Kg;345
Boucherie;Charcuterie - traiteur;Poitrine fumée tranchée (bacon) 600g;pour 580/620g 16.45 €/Kg;1017
Boucherie;Charcuterie - traiteur;Spécial apéro ! Saucisse sèche fuet;pour 240/260g 15 €/Kg;386
Boucherie;Charcuterie - traiteur;Véritable Andouillette AAAAA;pour 340/360g 23.36 €/Kg;843
Boucherie;Charcuterie - traiteur;Saucisse de Francfort;pour 300/350g 13.46 €/Kg;450
Boucherie;Charcuterie - traiteur;Saucisson de Lyon pistaché;pour 530/540g 17.98 €/Kg;991
Boucherie;Charcuterie - traiteur;Jambonneau cuit au bouillon;pour 800/900g 18.68 €/Kg;1636
Boucherie;Charcuterie - traiteur;Jambon sec IGP auvergne (20 tranches);la pièce;1268
Boucherie;Charcuterie - traiteur;Saucisson sec d'Auvergne;la pièce;450
Boucherie;Charcuterie - traiteur;Pâté de campagne;pour 290/310g 21.21 €/Kg;655
Boucherie;Charcuterie - traiteur;Saucisse Chevillée Fumée;pour 460/500g 16.25 €/Kg;803
Boucherie;Charcuterie - traiteur;Boudin noir à l'ancienne;pour 440/480g 9.39 €/Kg;445
Boucherie;Charcuterie - traiteur;Jambon blanc supérieur;pour 230/250g 18.18 €/Kg;449
Boucherie;Charcuterie - traiteur;Jambon sec IGP Auvergne;la pièce;390
Boucherie;Charcuterie - traiteur;Poitrine fumée non tranchée environ 2kg;pour 1900/2100g 12 €/Kg;2472
Poissonerie;Plateau d'huitres;Le Plaisir Iodé;Plateau spécial 12 huîtres pour 1 personne.;1299
Poissonerie;Plateau d'huitres;Huitres spécial grands crus;Plateau spécial 12 huîtres grands crus pour 1 personne.;1999
Poissonerie;Plateau en kit;Le classique;Plateau de fruits de mer classique pour 1 personne.;1999
Poissonerie;Plateau en kit;Formule crabe;Plateau de fruits de mer pour 1 personne avec un demi-crabe.;2499
Poissonerie;Plateau en kit;Formule homard;Plateau de fruits de mer pour 1 personne avec un demi-homard.;2999
Poissonerie;Plateau en kit;Formule duo;Plateau de fruits de mer pour 2 personnes.;6780
Poissonerie;Plateau en kit;Le royal;Plateau de fruits de mer Royal pour 1 personne.;6999
Poissonerie;Plateau en kit;Formule Crabe en KIT;Prix à la part. Votre formule est préparée dans un colis avec rince doigts, citron, algues. A vous de le dresser sur assiette, plat ou plateau polystyrène. *Photo non contractuelle. Photo d'illustration.;2100
Poissonerie;Plateau en kit;Formule Homard en KIT;Prix à la part. Votre formule est préparée dans un colis avec rince doigts, citron, algues. A vous de le dresser sur assiette, plat ou plateau polystyrène. *Photo non contractuelle. Photo d'illustration.;2600
Poissonerie;Plateau en kit;Formule Duo en KIT;Prix pour 2 parts. Votre formule est préparée dans un colis avec rince doigts, citron, algues. A vous de le dresser sur assiette, plat ou plateau polystyrène. *Photo non contractuelle. Photo d'illustration.;6000
Primeur;Légumes;Ail sec violet la tête env 100g 0,90€;;90
Primeur;Légumes;Artichaut poivrade la botte 2,80€;;280
Primeur;Légumes;Asperge verte la botte 500g 4,95€;;495
Primeur;Légumes;Aubergine la pièce env 330g 0,84€;;84
Primeur;Légumes;Barbucine la barquette 300g 3,95€;;395
Primeur;Légumes;Bette le pied env. 500 g 1,48€;;148
Primeur;Légumes;Betterave crue les 500g 0,98€;;98
Primeur;Légumes;Betterave longue les 500g 1,98€;;198
Primeur;Légumes;Betterave rapée barq.200g 1,00€;;100
Primeur;Légumes;Betterave ronde les 500g 1,98€;;198
Primeur;Légumes;Betterave s/vide les 500g 1,20€;;120
Primeur;Légumes;Blanc de poireau Barq. 400g 3,50€;;350
Primeur;Légumes;Brocoli les 500g 1,25€;;125
Primeur;Légumes;Butter Nut le kilo 2,50€;;250
Primeur;Légumes;Carotte botte la botte 2,20€;;220
Primeur;Légumes;Carotte des sables les 500g 0,80€;;80
Primeur;Légumes;Carotte lavée le kilo 0,99€;;99
Primeur;Légumes;Carotte rapée barq.200g 1,00€;;100
Primeur;Légumes;Carotte rondelle barq. 500g 1,50€;;150
Primeur;Légumes;Carotte sac de 10 kilos 7,00€;;700
Primeur;Légumes;Cèleri rave demi env. 500g 1,00€;;100
Primeur;Légumes;Cèleri rave pièce env. 1kg 1,95€;;195
Primeur;Légumes;Céleris branche la branche 0,35€;;35
Primeur;Légumes;Céleris branche le demi pied 1,48€;;148
Primeur;Légumes;Céleris branche le pied entier 2,95€;;295
Primeur;Légumes;Champignon blanc les 250g 0,99€;;99
Primeur;Légumes;Champignon crème FRANCE les 250g 1,13€;;113
Primeur;Légumes;Champignon émincé barq 250g 2,00€;;200
Primeur;Légumes;Champignon Lentin de chêne les 100g 1,80€;;180
Primeur;Légumes;Champignon Pleurote les 250g 3,00€;;300
Primeur;Légumes;Chou Blanc demi env.800g 1,28€;;128
Primeur;Légumes;Chou blanc rapé barq.150g 1,00€;;100
Primeur;Légumes;Chou chinois le kilo 2,50€;;250
Primeur;Légumes;Chou de bruxelles les 500g 1,98€;;198
Primeur;Légumes;Chou Fleur la pièce 1,60€;;160
Primeur;Légumes;Chou Romanesco la pièce 1,80€;;180
Primeur;Fruits;Ananas Avion pièce env. 1,5 kg 5,95€;;595
Primeur;Fruits;Ananas entier épluché 4,00€;;400
Primeur;Fruits;Ananas sweet la pièce 3,50€;;350
Primeur;Fruits;Ananas Victoria la pièce environ 600g 4,80€;;480
Primeur;Fruits;Avocat la piéce 1,40€;;140
Primeur;Fruits;Banane le kilo 1,95€;;195
Primeur;Fruits;Carambole la pièce 1,95€;;195
Primeur;Fruits;Citron jaune BIO la pièce 0,70€;;70
Primeur;Fruits;Citron jaune la pièce 0,50€;;50
Primeur;Fruits;Citron vert la pièce 0,55€;;55
Primeur;Fruits;Clémentine Ori Israël le kilo 2,95€;;295
Primeur;Fruits;Clémentine Socculente le kilo 4,95€;;495
Primeur;Fruits;Fraise Clery la barquette de 250g 4,95€;;495
Primeur;Fruits;Fraise Gariguette Francaise les 250 grs 4,95€;;495
Primeur;Fruits;Fraise la barquette de 500 g 3,95€;;395
Primeur;Fruits;Framboise la barq de 125g 2,95€;;295
Primeur;Fruits;Fruit de la passion les 100g 1,60€;;160
Primeur;Fruits;Grenade la pièce env. 500g 3,95€;;395
Primeur;Fruits;Groseille la barquette de 125g 3,95€;;395
Primeur;Fruits;Kiwi (A) la pièce 0,45€;;45
Primeur;Fruits;Kiwi (B) les 5 pièces 2,00€;;200
Primeur;Fruits;Kiwi (C) les 10 pièces 3,50€;;350
Primeur;Fruits;Mangue Avion la pièce 4,95€;;495
Primeur;Fruits;Melon la pièce 2,50€;;250
Primeur;Fruits;Melon Promo les 2 pièces 4,00€;;400
Primeur;Fruits;Mini Banane sachet 250g env. 3,50€;;350
Primeur;Fruits;Mûre la barquette 125g 2,95€;;295
Primeur;Fruits;Myrtille la barquette 125g 2,95€;;295
Primeur;Fruits;Noisette les 500 grs 3,48€;;348
Primeur;Fruits;Noix coco la pièce 2,40€;;240
Primeur;Fruits;Noix Sèche les 500 grs 3,48€;;348
Primeur;Fruits;Orange Lane-late douce à manger et à jus le kilo 1,60€;;160
Primeur;Fruits;Orange Maltaise légèrement acidulé à manger ou à jus le kilo 1,60€;;160
Primeur;Fruits;Physalis la barquette 1,95€;;195
Primeur;Fruits;Poire Comice le kilo 2,40€;;240
Primeur;Fruits;Poire Conférence le kilo 2,40€;;240
